,Dataset,Start age,End age,Sex,Tissue,Subtissue,Cell type,Gene,dExpression,Confidence,Expression at start age,Expression at end age,Max expression std. dev
0,droplet,3m,18m,female,Lung,nan,dendritic cell,Hist1h2ae,83.43202209472656,low,8.570082172809634e-06,0.0007150193559937179,4.4753673137165606e-05
1,droplet,3m,18m,male,Kidney,nan,brush cell,Rpl22l1,30.25253677368164,low,0.0005986650357954204,1.978891850740183e-05,0.00012213228910695761
2,droplet,3m,18m,female,Lung,nan,dendritic cell,Tubg1,15.954867362976074,low,7.900142009020783e-06,0.0001260457356693223,2.441555079712998e-05
3,droplet,3m,18m,female,Lung,nan,dendritic cell,Me2,13.777036666870117,low,7.900142009020783e-06,0.0001088405551854521,1.580028583703097e-05
4,droplet,3m,18m,female,Lung,nan,dendritic cell,Cdc5l,9.482903480529785,low,1.415328006260097e-05,0.00013421419134829193,2.830656012520194e-05
5,droplet,3m,18m,male,Kidney,nan,brush cell,Smap1,9.44966983795166,low,2.2386388081940822e-05,0.000211544000194408,4.52213134849444e-05
6,droplet,3m,18m,female,Lung,nan,dendritic cell,Elf1,8.693227767944336,low,2.5040306354640052e-05,0.0002176811103709042,3.397014006623067e-05
7,droplet,3m,18m,male,Kidney,nan,brush cell,Camk2n1,7.130019187927246,low,3.2444921089336276e-05,0.00023133291688282043,4.280122084310278e-05
8,droplet,3m,18m,female,Lung,nan,dendritic cell,Sar1a,4.827268600463867,low,2.6489258743822575e-05,0.00012787077866960317,2.189788210671395e-05
9,droplet,3m,18m,female,Lung,nan,basophil,Dynll1,4.791800498962402,low,0.00022025429643690586,0.001055414672009647,0.00018292362801730633
10,droplet,3m,18m,female,Lung,nan,dendritic cell,Ube2s,4.502392292022705,low,0.00022249147878028452,0.0010017439490184188,0.00019167318532709032
11,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Nat15,0.0,low,2.7082074666395783e-05,3.0493192753056064e-05,9.837604011408985e-05
12,droplet,3m,18m,female,Lung,nan,fibroblast of lung,1700037C18Rik,0.0,low,0.0,2.7826397399621783e-06,2.4575585484853946e-05
13,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Gpr84,0.0,low,0.0,0.0,0.0
14,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Crebbp,0.0,low,5.044437784818001e-05,4.6765049773966894e-05,0.00011242251639487222
15,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Zfp385a,0.0,low,0.0,1.05695971797104e-05,4.631662159226835e-05
16,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Itga5,0.0,low,1.195769254991319e-05,1.7954662325792015e-05,8.833378524286672e-05
17,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Trap1,0.0,low,1.8889171769842505e-05,2.784481148410123e-05,7.500591163989156e-05
18,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Gtsf1,0.0,low,0.0,0.0,0.0
19,droplet,3m,18m,female,Lung,nan,fibroblast of lung,BC048502,0.0,low,0.0,0.0,0.0
20,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Dnase1,0.0,low,0.0,0.0,0.0
21,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Slx4,0.0,low,6.09540529694641e-06,0.0,3.6572433600667864e-05
22,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Nckap1l,0.0,low,0.0,1.098109260055935e-05,5.590747605310753e-05
23,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Pde1b,0.0,low,0.0,1.994678086703061e-06,1.7616524928598665e-05
24,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Ppp1r1a,0.0,low,0.0,0.0,0.0
25,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Nlrc3,0.0,low,0.0,4.057124442624627e-06,3.5831584682455286e-05
26,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Glycam1,0.0,low,0.0,0.0,0.0
27,droplet,3m,18m,female,Lung,nan,fibroblast of lung,Mucl1,0.0,low,0.0,0.0,0.0
