,Dataset,Start age,End age,Sex,Tissue,Subtissue,Cell type,Gene,dExpression,Confidence,Expression at start age,Expression at end age,Max expression std. dev
0,facs,18m,24m,male,Pancreas,Exocrine,leukocyte,Dpm1,3133.759765625,low,7.14652196620591e-05,2.2803945398663927e-08,1.7566524547873996e-05
1,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Pdlim1,1105.71142578125,low,0.00017111162014771253,1.547515182664938e-07,3.738513623829931e-05
2,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Ptpra,986.6050415039062,low,0.0001526796113466844,1.547515182664938e-07,3.377893517608754e-05
3,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Cd27,899.2661743164062,low,0.0002411329187452793,2.681431112705468e-07,2.3775452064001e-05
4,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Clns1a,822.1781005859375,low,0.00022046221420168877,2.681431112705468e-07,5.081414565211162e-05
5,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Hsd3b7,752.0015258789062,low,0.0002016447833739221,2.681431112705468e-07,3.1053928069013637e-06
6,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Tacstd2,460.68017578125,low,0.00012352867634035647,2.681431112705468e-07,5.152310677658534e-06
7,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Dnajc2,455.53509521484375,low,0.0001221490529133007,2.681431112705468e-07,8.840168447932228e-06
8,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Shmt2,213.06256103515625,low,0.00021431663481052965,1.0058848829430644e-06,3.7119501939741895e-05
9,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Rbm7,180.29808044433594,low,4.834586798097007e-05,2.681431112705468e-07,5.443544068839401e-06
10,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,1110057K04Rik,161.76339721679688,low,4.337590144132264e-05,2.681431112705468e-07,1.0274943633703515e-05
11,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Casp8,161.53472900390625,low,0.00016248550673481077,1.0058848829430644e-06,1.0254399967379868e-05
12,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Snapc2,139.1177520751953,low,5.38218482688535e-05,3.868788098770892e-07,1.0855776963580865e-05
13,facs,18m,24m,male,Heart,RV,atrial myocyte,Snca,116.47969055175781,low,0.011833259835839272,0.00010159075463889167,0.00143025116994977
14,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Agpat5,111.73849487304688,low,3.4583514207042754e-05,3.095030365329876e-07,8.048769814195111e-06
15,facs,18m,24m,male,Pancreas,Endocrine,pancreatic PP cell,BC005561,100.93986511230469,low,9.0335204731673e-05,8.949397738433618e-07,1.8180351617047563e-05
16,facs,18m,24m,male,Pancreas,Exocrine,pancreatic B cell,Tab2,97.77722930908203,low,3.28491696564015e-05,3.359583047313208e-07,7.2099755925592035e-06
17,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Cct6a,69.87955474853516,low,0.000281163229374215,4.023539531772258e-06,3.956514046876691e-05
18,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Fkbp3,67.63428497314453,low,0.00012559816241264343,1.8570182191979256e-06,3.0340323064592667e-05
19,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,2810002N01Rik,57.751792907714844,low,3.0971550586400554e-05,5.362862225410936e-07,3.4481461170798866e-06
20,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Actr1a,49.791927337646484,low,7.884711521910504e-05,1.5835311160117271e-06,1.2354802493064199e-05
21,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Actl6a,47.43008041381836,low,0.00012844789307564497,2.7081516691396246e-06,2.4507666239514947e-05
22,facs,18m,24m,male,Pancreas,Exocrine,leukocyte,Acsl5,41.797035217285156,low,0.00017932080663740635,4.2902747736661695e-06,4.028751573059708e-05
23,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Tm2d2,37.56961441040039,low,0.00019803711620625108,5.271203463053098e-06,4.433418143889867e-05
24,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Ctage5,29.85346031188965,low,3.46490451192949e-05,1.1606364296312677e-06,2.0102813778066775e-06
25,facs,18m,24m,male,SCAT,Fat,T cell,Ddx50,26.02545928955078,low,0.000272726989351213,1.0479237062099855e-05,5.159190186532214e-05
26,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Krt18,25.314891815185547,low,0.0001334399712504819,5.271203463053098e-06,1.6247699022642337e-05
27,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Pon2,24.82545280456543,low,0.00013929617125540972,5.611021606455324e-06,3.0923391022952273e-05
28,facs,18m,24m,male,Marrow,KLS,megakaryocyte-erythroid progenitor cell,Tnfrsf18,24.64614486694336,low,6.495744310086593e-05,2.635601731526549e-06,7.474723588529741e-06
29,facs,18m,24m,male,Lung,EPCAM,T cell,Vapa,24.486080169677734,low,0.0006172675057314336,2.5208912120433524e-05,0.00012815542868338525
